Date,High,Low,Open,Close,Volume,Adj Close,Moving Average (5 days),Moving Average (10 Days),Moving Average (15 Days),Moving Average (20 Days),SD (5 days),SD (10 days)
3/8/2020,79.15000153,77.41000366,77.76999664,78.94999695,10129800,78.21445465,79.4719986,75.82199936,72.7413325,70.40599918,2.095285291,6.072198167
4/8/2020,80.19000244,78.73999786,79.33000183,80.19000244,12569400,79.44290924,80.12599945,77.05999985,73.62333272,71.37999935,1.53501788,5.491459442
5/8/2020,84,80.56999969,80.98000336,81.62999725,14447200,80.86949158,79.91799927,78.36999969,74.6613327,72.33199921,1.117908661,4.741871446
6/8/2020,82.09999847,80.22000122,82.04000092,80.51999664,9838700,79.7698288,80.03599854,79.68499908,75.58999939,73.1189991,1.150164855,2.762817067
7/8/2020,80.79000092,79.41000366,80.48999786,80.02999878,8705800,79.28440094,80.26399841,80.29799881,76.49866587,73.92799911,0.964147163,1.873605103
10/8/2020,80.84999847,79.22000122,80.55000305,79.87000275,7421400,79.12589264,80.44799957,79.95999908,77.36399943,74.66799927,0.703148208,1.560626519
11/8/2020,79.19999695,77.94000244,79.08999634,77.94000244,7056300,77.21387482,79.99799957,80.06199951,78.03933309,75.21699944,1.34058352,1.360340488
12/8/2020,79.55000305,77.73000336,78.16000366,79.38999939,8359100,78.65036011,79.55,79.73399963,78.76333313,75.88349953,0.986329865,1.012632661
13/8/2020,79.09999847,77.83000183,79,78.30000305,6551800,77.57051849,79.10600128,79.57099991,79.49199982,76.46899986,0.939056838,1.104589667
14/8/2020,79.23000336,78.05000305,78.41999817,78.41000366,5611200,77.67949677,78.78200226,79.52300034,79.79266663,77.06949997,0.8113377,1.147082094
17/8/2020,80.88999939,79.66000366,79.80000305,80.19000244,8663900,79.44290924,78.8460022,79.64700089,79.58866679,77.73450012,0.92348727,1.145278886
18/8/2020,80.81999969,79.25,80.22000122,79.41000366,6804800,78.67018127,79.14000244,79.56900101,79.75466715,78.31450043,0.786828496,1.130656187
19/8/2020,79.23000336,78.25,79.01000214,78.54000092,7976800,77.80828094,78.97000275,79.26000137,79.479334,78.81500053,0.810771269,0.904419927
20/8/2020,77.09999847,75.98000336,76.31999969,76.80999756,11457100,76.0943985,78.67200165,78.88900146,79.27133382,79.28700027,1.265118547,1.074983201
21/8/2020,78.73000336,77.86000061,78.01999664,78.33999634,7942300,77.61014557,78.65800018,78.72000122,79.23466695,79.50900002,1.26912412,1.006325597
24/8/2020,79.91000366,78.48999786,79.73000336,78.90000153,6405600,78.16493225,78.4,78.6230011,79.23133392,79.29150009,0.977422297,0.926764217
25/8/2020,80.48000336,79.47000122,79.84999847,80.04000092,6113100,79.29430389,78.52599945,78.83300095,79.22133382,79.44750023,1.163135168,0.990534602
26/8/2020,82.16999817,81.01000214,81.25,81.75,7821600,80.9883728,79.16799927,79.06900101,79.229334,79.40150032,1.853692151,1.352861376
27/8/2020,82.30999756,80.16999817,82.18000031,80.59999847,8018200,79.84908295,79.92599945,79.29900055,79.23466746,79.43500023,1.356680382,1.402208679
28/8/2020,80.87999725,79.91000366,80.05999756,80.44000244,5699500,79.69058228,80.34600067,79.50200043,79.26200104,79.51250038,1.028240574,1.40614457
31/8/2020,79.76000214,78.69000244,79,79.25,9812900,78.51166534,80.41600037,79.40800018,79.22066752,79.52750053,0.910345932,1.386321269
1/9/2020,81.59999847,79.98999786,80.12000275,81.55000305,10208200,80.79024506,80.71800079,79.62200012,79.46133423,79.59550056,1.000435415,1.542983851
2/9/2020,82.70999908,79.87999725,81.34999847,82.16999817,12567800,81.40445709,80.80200043,79.98499985,79.64666748,79.62250061,1.119316578,1.680974461
3/9/2020,81.80999756,78.37999725,81.12000275,81.18000031,20090100,80.4236908,80.91800079,80.42200012,79.8386673,79.65550079,1.123196009,1.28533482
4/9/2020,81.47000122,77.41000366,80.5,78.91000366,13638700,78.17483521,80.61200104,80.47900085,79.87200063,79.59950104,1.447555517,1.191995204
8/9/2020,79.15000153,77.22000122,78.01999664,77.31999969,11553500,76.59964752,80.22600098,80.32100067,79.68066711,79.47200089,2.038315093,1.491609197
9/9/2020,79.69999695,78.55000305,78.62000275,79.40000153,7867500,78.66027069,79.79600067,80.25700073,79.68000031,79.54500084,1.912047722,1.518493428
10/9/2020,81.23000336,78.76000214,80.73999786,78.90000153,11241800,78.16493225,79.14200134,79.97200089,79.70400035,79.52050095,1.383119726,1.473942239
11/9/2020,80.30000305,78.59999847,80.01000214,78.81999969,7853500,78.0856781,78.67000122,79.79400101,79.83800049,79.54650078,0.78873402,1.496976127
14/9/2020,81.12000275,79.94999695,80.5,80.5,7091100,79.75002289,78.98800049,79.80000076,79.98200073,79.6510006,1.148268491,1.499970165
15/9/2020,86.79000092,81.37999725,81.55999756,85.84999847,21048400,85.05017853,80.69400024,80.46000061,80.44533386,79.9340004,2.959167788,2.408161308
16/9/2020,86.48999786,83.04000092,86.48999786,83.12999725,14492600,82.35551453,81.43999939,80.61800003,80.65133362,80.12000008,3.020917539,2.536057889
17/9/2020,82.29000092,80.61000061,81,81.91000366,10090200,81.56585693,82.04199982,80.59200058,80.66200053,80.28850021,2.667445567,2.519658751
18/9/2020,82.83999634,80.11000061,82.37000275,80.23000336,10528300,79.89291382,82.32400055,80.49700089,80.63733419,80.4595005,2.289404274,2.512925937
21/9/2020,80.65000153,79.08000183,79.80000305,80.58999634,8417100,80.25139618,82.34199982,80.66500015,80.64733378,80.5720005,2.271764758,2.450419948
22/9/2020,80.88999939,79.40000153,80.83000183,80.48000336,6375200,80.14186096,81.26800079,80.98100052,80.729334,80.6510006,1.228542549,2.157355757
23/9/2020,79.93000031,77.88999939,79.69999695,77.91999817,9094700,77.59261322,80.22600098,80.83300018,80.48733368,80.54500046,1.444865032,2.322326212
